837,cplusplus-14,cpp
838,cplusplus-17,cpp
839,cplusplus-20,cpp
840,cplusplus-23,cpp
841,cplusplus11,cpp
842,cplusplus17,cpp
843,cpp-11,cpp
844,cpp-14,cpp
845,cpp-17,-1
846,cpp-20,cpp
847,cpp03,cpp
848,cpp0x,cpp
849,cpp11,cpp
850,cpp14,cpp
851,cpp17,cpp
852,cpp1y,cpp
853,cpp1z,cpp
854,cpp20,cpp
855,cpp23,cpp
856,cpp2a,cpp
857,cpp98,cpp
858,cs-7643,computer-science
859,cs1,computer-science
860,cs101,computer-science
861,cs103,computer-science
862,cs109,computer-science
863,cs111,computer-science
864,cs120,computer-science
865,cs1231,computer-science
866,cs131,computer-science
867,cs140,computer-science
868,cs143,computer-science
869,cs146,computer-science
870,cs155,computer-science
871,cs156,computer-science
872,cs16,computer-science
873,cs188,-1
874,cs189,computer-science
875,cs193p,-1
876,cs199,computer-science
877,cs2,computer-science
878,cs20,computer-science
879,cs221,computer-science
880,cs224n,-1
881,cs225,computer-science
882,cs229,computer-science
883,cs230,computer-science
884,cs231,computer-science
885,cs234,computer-science
886,cs245,computer-science
887,cs245e,-1
888,cs246,computer-science
889,cs261,computer-science
890,cs262,computer-science
891,cs267,computer-science
892,cs294,computer-science
893,cs294-112,computer-science
894,cs3,computer-science
895,cs319,computer-science
896,cs3243,computer-science
897,cs33,computer-science
898,cs337,computer-science
899,cs350,computer-science
900,cs354,computer-science
901,cs360,computer-science
902,cs372,computer-science
903,cs373,computer-science
904,cs4384,computer-science
905,cs4820,computer-science
906,cs488,computer-science
907,cs50x,-1
908,cs5242,computer-science
909,cs531,computer-science
910,cs5368,computer-science
911,cs543,computer-science
912,cs5490,computer-science
913,cs552,computer-science
914,cs560,computer-science
915,cs565600,computer-science
916,cs6,computer-science
917,cs60,computer-science
918,cs6101,computer-science
919,cs630,computer-science
920,cs70,computer-science
921,cs7641,computer-science
922,cs771,computer-science
923,cs80,computer-science
924,csharp4,csharp
925,csharp5,csharp
